year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,UA,STL,273.0,50.0,20.12,0.0,7.49,0.0,22.38,1.0,0.0,2983.0,967.0,0.0,325.0,0.0,1691.0
2022,6,OO,ATW,140.0,18.0,15.0,2.0,0.0,0.0,1.0,2.0,0.0,1215.0,979.0,139.0,0.0,0.0,97.0
2022,2,OO,SAT,105.0,9.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,767.0,528.0,136.0,0.0,0.0,103.0
2019,9,DL,COS,30.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,296.0,103.0,0.0,193.0,0.0,0.0
2014,12,DL,SMF,154.0,19.0,8.55,0.92,4.7,0.0,4.83,0.0,0.0,721.0,257.0,33.0,167.0,0.0,264.0
2015,9,WN,RNO,568.0,72.0,23.44,2.0,7.12,0.0,39.44,0.0,0.0,3142.0,1138.0,131.0,218.0,0.0,1655.0
2022,2,F9,TPA,438.0,142.0,38.28,3.51,44.76,0.0,55.45,23.0,1.0,9070.0,2262.0,199.0,2326.0,0.0,4283.0
2018,7,DL,DAL,135.0,23.0,10.05,2.11,2.57,0.0,8.27,0.0,2.0,1335.0,426.0,143.0,72.0,0.0,694.0
2014,10,UA,DFW,354.0,87.0,24.66,2.58,32.38,0.0,27.37,1.0,3.0,5107.0,1278.0,505.0,1415.0,0.0,1909.0
2014,4,OO,PDX,1013.0,97.0,20.3,0.98,21.86,0.0,53.86,15.0,0.0,5034.0,1556.0,110.0,588.0,0.0,2780.0
2019,11,WN,PIT,842.0,107.0,49.89,0.96,10.37,0.0,45.78,3.0,1.0,4670.0,2340.0,20.0,314.0,0.0,1996.0
2020,8,OO,LIT,29.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,226.0,169.0,57.0,0.0,0.0,0.0
2013,12,EV,CHA,179.0,46.0,14.8,1.0,8.06,0.0,22.13,0.0,0.0,2886.0,912.0,87.0,337.0,0.0,1550.0
2020,9,MQ,LEX,106.0,13.0,1.86,0.0,9.71,0.0,1.43,0.0,0.0,398.0,92.0,0.0,220.0,0.0,86.0
2023,7,NK,MKE,53.0,26.0,5.84,6.07,9.79,0.73,3.57,2.0,0.0,2322.0,350.0,656.0,944.0,46.0,326.0
2015,2,OO,DLH,113.0,31.0,7.0,1.99,10.65,0.0,11.36,9.0,0.0,1676.0,262.0,90.0,408.0,0.0,916.0
2018,8,MQ,GSP,71.0,18.0,3.9,1.0,8.51,0.0,4.59,2.0,0.0,973.0,256.0,111.0,305.0,0.0,301.0
2022,4,MQ,ABI,172.0,28.0,8.98,2.74,10.63,0.0,5.65,1.0,0.0,1815.0,438.0,414.0,440.0,0.0,523.0
2021,2,OO,RNO,392.0,35.0,26.0,6.0,1.0,0.0,2.0,0.0,0.0,1840.0,1300.0,310.0,50.0,0.0,180.0
2022,10,9E,MOB,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0
2020,9,B6,JAX,38.0,1.0,0.93,0.0,0.07,0.0,0.0,1.0,0.0,28.0,26.0,0.0,2.0,0.0,0.0
2014,9,UA,BOS,1031.0,199.0,61.07,2.98,78.85,1.0,55.1,8.0,0.0,12179.0,3762.0,191.0,3391.0,29.0,4806.0
